segment_id,start_time,end_time,start_seconds,end_seconds,duration,text
1,"00:00:02,720","00:00:05,040",2.72,5.04,2.32,Herzlich willkommen zu Maischberger.
2,"00:00:05,680","00:00:07,680",5.68,7.68,2.0,Gelingt der neuen Regierung die sogenannte Wirtschaftswende?
3,"00:00:07,720","00:00:10,240",7.72,10.24,2.5200000000000005,Und wo muss sie sparen?
4,"00:00:12,440","00:00:14,960",12.44,14.96,2.5200000000000014,Das diskutieren die Ministerpräsidentin
5,"00:00:15,000","00:00:17,640",15.0,17.64,2.6400000000000006,"von Mecklenburg-Vorpommern, Manuela Schwesig."
6,"00:00:17,680","00:00:19,560",17.68,19.56,1.879999999999999,Und Christian Dürr von der FDP.
7,"00:00:19,600","00:00:22,200",19.6,22.2,2.599999999999998,"Sie ist eine der mächtigsten Frauen der Welt,"
8,"00:00:22,240","00:00:24,240",22.24,24.24,2.0,und das schon seit einigen Jahren.
9,"00:00:24,280","00:00:27,960",24.28,27.96,3.6799999999999997,Heute zum 1. Mal in einer deutschen Talkshow: Christine Lagarde.
10,"00:00:27,960","00:00:31,560",27.96,31.56,3.599999999999998,"Und es kommentieren: Theo Koll, Journalist und politischer Analyst."
11,"00:00:31,600","00:00:34,560",31.6,34.56,2.960000000000001,"Kerstin Palzer, Korrespondentin im ARD-Hauptstadtstudio."
12,"00:00:34,600","00:00:36,720",34.6,36.72,2.1199999999999974,"Und Hajo Schumacher, Kolumnist und Autor."
13,"00:00:42,040","00:00:45,160",42.04,45.16,3.1199999999999974,Einen wunderschönen guten Abend.
14,"00:00:48,200","00:00:50,680",48.2,50.68,2.479999999999997,"Wir haben 2 Nachrichten der letzten Woche,"
15,"00:00:50,720","00:00:53,560",50.72,53.56,2.8400000000000034,ein Nullwachstum sagen die Wirtschaftsweisen.
16,"00:00:53,640","00:00:57,600",53.64,57.6,3.960000000000001,Gleichzeitig ist im ersten Quartal die Wirtschaft doch überraschend
