segment_id,start_time,end_time,start_seconds,end_seconds,duration,text
1,"00:00:00,040","00:00:01,560",0.04,1.56,1.52,Diese Untertitel sind live produziert.
2,"00:00:03,000","00:00:06,440",3.0,6.44,3.4400000000000004,"Willkommen zu unserer Sendung,"
3,"00:00:06,560","00:00:08,000",6.56,8.0,1.4400000000000004,am Ende eines ereignisreichen Tages.
4,"00:00:08,040","00:00:12,960",8.04,12.96,4.920000000000002,Über eine geballte Dosis von 80 Minuten Trump
5,"00:00:13,040","00:00:15,800",13.04,15.8,2.7600000000000016,"wollen wir sprechen mit Jana Puglierin,"
6,"00:00:15,920","00:00:17,400",15.92,17.4,1.4799999999999986,"Politikwissenschaftlerin,"
7,"00:00:17,520","00:00:20,840",17.52,20.84,3.3200000000000003,die sich intensiv mit Sicherheitsfragen beschäftigt
8,"00:00:20,960","00:00:26,560",20.96,26.56,5.599999999999998,"und die wir fragen wollen, warum Trump heute in Davos"
9,"00:00:26,680","00:00:30,800",26.68,30.8,4.120000000000001,"immer wieder über diese ""eine Stück Eis"" gesprochen hat,"
10,"00:00:30,880","00:00:34,400",30.88,34.4,3.5199999999999996,das in seiner Vorstellung den Weltfrieden sichern wird
11,"00:00:34,480","00:00:37,400",34.48,37.4,2.9200000000000017,und das er deshalb dringend braucht - nämlich Grönland.
12,"00:00:37,520","00:00:39,640",37.52,39.64,2.1199999999999974,Vor allem aber: Was bedeutet all das für uns?
13,"00:00:39,720","00:00:40,840",39.72,40.84,1.1200000000000045,Herzlich willkommen.
14,"00:00:40,920","00:00:44,480",40.92,44.48,3.559999999999995,"Jürgen Trittin, der sich politisch schon mit vielen Dingen"
15,"00:00:44,600","00:00:46,080",44.6,46.08,1.4799999999999969,und ganz besonders intensiv
16,"00:00:46,200","00:00:49,080",46.2,49.08,2.8799999999999955,"immer wieder mit Außenpolitik beschäftigt hat, sagt:"
17,"00:00:49,200","00:00:53,880",49.2,53.88,4.68,"""Es kann keinen Kompromiss über Grönland geben.""."
18,"00:00:53,960","00:00:55,160",53.96,55.16,1.1999999999999957,Die Frage ist nur:
19,"00:00:55,240","00:00:59,480",55.24,59.48,4.239999999999995,"Wenn wir hier über etwas reden, worüber es keinen Kompromiss geben,"
20,"00:00:59,600","00:01:01,240",59.6,61.24,1.6400000000000006,dann haben wir ja offenbar das andere:
21,"00:01:01,320","00:01:02,640",61.32,62.64,1.3200000000000003,nämlich einen echten Konflikt.
22,"00:01:02,720","00:01:04,840",62.72,64.84,2.1200000000000045,"Und genau so sieht er das offenbar, denn er sagt:"
23,"00:01:04,920","00:01:06,800",64.92,66.8,1.8799999999999955,"""Wir müssen uns darauf einstellen,"
24,"00:01:06,880","00:01:10,400",66.88,70.4,3.5200000000000102,"dass die USA Europa militärisch angreifen.""."
25,"00:01:10,480","00:01:12,320",70.48,72.32,1.8399999999999892,Im Ernst und was würde das bedeuten?
26,"00:01:12,440","00:01:14,640",72.44,74.64,2.200000000000003,Herzlich willkommen.
27,"00:01:14,720","00:01:17,080",74.72,77.08,2.3599999999999994,"Und wir wollen Ulf Röller,"
28,"00:01:17,160","00:01:21,520",77.16,81.52,4.359999999999999,"der uns direkt aus Davos zugeschaltet ist, fragen,"
29,"00:01:21,600","00:01:24,280",81.6,84.28,2.680000000000007,ob das dort heute genau so angekommen ist.
30,"00:01:24,360","00:01:26,360",84.36,86.36,2.0,"Ist es wirklich denkbar,"
31,"00:01:26,440","00:01:28,800",86.44,88.8,2.3599999999999994,dass die Amerikaner ein europäisches Land angreifen?
32,"00:01:28,920","00:01:30,760",88.92,90.76,1.8400000000000034,Schönen guten Abend.
33,"00:01:32,000","00:01:34,080",92.0,94.08,2.0799999999999983,UR: Guten Abend.
34,"00:01:36,000","00:01:40,800",96.0,100.8,4.799999999999997,"ML: Bevor wir ins inhaltliche gehen, kannst du uns erklären, was los war."
35,"00:01:40,840","00:01:43,680",100.84,103.68,2.8400000000000034,Uns mitnehmen in die Atmosphäre von Davos.
36,"00:01:46,680","00:01:50,320",106.68,110.32,3.6399999999999864,"UR: Das was da passiert ist,"
37,"00:01:50,320","00:01:53,960",110.32,113.96000000000001,3.640000000000015,"die 80 Minuten Rede von US-Präsident Trump,"
38,"00:01:54,000","00:01:55,840",114.0,115.84,1.8400000000000034,die überfordert einen bisschen als Journalist.
39,"00:01:59,440","00:02:02,760",119.44,122.76,3.3200000000000074,Es gab am Anfang Standing Ovations.
40,"00:02:06,400","00:02:08,320",126.4,128.32,1.9199999999999875,"Es gab die Erwartungshaltung,"
41,"00:02:08,360","00:02:13,000",128.36,133.0,4.639999999999986,"dass man eine Präsidentenrede hört, die eine gewisse Richtung vorgibt."
42,"00:02:13,040","00:02:15,640",133.04,135.64,2.5999999999999943,"Was klarmacht, was der US Präsident will."
43,"00:02:15,720","00:02:18,520",135.72,138.52,2.8000000000000114,"Dann haben wir 80 Minuten einen Mann gehört,"
44,"00:02:18,600","00:02:21,400",138.6,141.4,2.8000000000000114,der permanent von sich selbst berauscht ist.
45,"00:02:21,440","00:02:23,760",141.44,143.76,2.319999999999993,Und das sehr deutlich gesagt hat.
46,"00:02:23,840","00:02:26,640",143.84,146.64,2.799999999999983,Dann sieht man da die vielen mächtigen Menschen
47,"00:02:26,720","00:02:28,200",146.72,148.2,1.4799999999999898,im Saal.
48,"00:02:28,480","00:02:30,160",148.48,150.16,1.6800000000000068,"Eine hat salopp gesagt,"
49,"00:02:30,240","00:02:33,520",150.24,153.52,3.280000000000001,das Durchschnittseinkommen im Saal ist 4 Millionen.
50,"00:02:33,600","00:02:35,400",153.6,155.4,1.8000000000000114,"Eine solche Beweihräucherung,"
